                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                  1.143,                0.81387,                 2.7508,                 1.5094,                0.54253,                0.60202,                0.58337,                0.53853,                0.54253,                0.60202,                0.58337,                0.53735,                      0,                      0,                      0,                      0,                 0.0748,                 0.0028,                 0.0028
                      1,                0.95555,                0.58697,                    inf,                 1.3149,                0.82277,                 0.8749,                0.97013,                0.93041,                0.82277,                 0.8749,                0.97013,                0.91039,                      0,                      0,                      0,                      0,               0.048672,              0.0056718,              0.0056718
                      2,                 1.0705,                0.64073,                 1.3145,                 1.3983,                0.73765,                0.97848,                0.91153,                 0.8505,                0.73765,                0.97848,                0.91153,                0.83148,                      0,                      0,                      0,                      0,               0.022515,              0.0085149,              0.0085149
                      3,                 1.0716,                0.65556,                 1.7072,                 1.3786,                0.61163,                0.81327,                0.75941,                0.70037,                0.62464,                0.82236,                0.77438,                0.67858,                      0,                      0,                      0,                      0,              0.0098515,              0.0098515,              0.0098515
                      4,                0.99708,                0.59571,                 1.5502,                  1.289,                0.93669,                0.91673,                 0.9715,                0.86177,                0.93669,                0.91673,                 0.9715,                0.89913,                      0,                      0,                      0,                      0,              0.0098515,              0.0098515,              0.0098515
                      5,                  1.118,                0.68104,                 1.6905,                 1.3832,                 0.9689,                0.92626,                0.98437,                0.83306,                 0.9689,                0.92626,                0.98437,                0.88879,                      0,                      0,                      0,                      0,               0.009802,               0.009802,               0.009802
                      6,                   1.15,                0.70359,                 1.0075,                 1.3571,                 0.9614,                0.93254,                0.97027,                0.86959,                 0.9614,                0.93254,                0.97027,                0.85584,                      0,                      0,                      0,                      0,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.0662,                0.66547,                 0.8966,                 1.3511,                0.94076,                0.92626,                0.97992,                0.92729,                0.94076,                0.92626,                0.97992,                0.91192,                      0,                      0,                      0,                      0,               0.009703,               0.009703,               0.009703
                      8,                 1.0896,                0.66189,                0.93654,                 1.3281,                0.86173,                0.70577,                0.82552,                0.71751,                0.86173,                0.70577,                0.82552,                0.70442,                      0,                      0,                      0,                      0,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.0624,                 0.6422,                0.91147,                 1.3399,                 0.8494,                0.91703,                0.96307,                 0.8722,                 0.8494,                0.91703,                0.96307,                0.84019,                      0,                      0,                      0,                      0,               0.009604,               0.009604,               0.009604
                     10,                 1.1759,                0.70154,                   1.01,                 1.4152,                0.81593,                 0.8899,                 0.8788,                0.71261,                0.81593,                 0.8899,                 0.8788,                 0.6947,                      0,                      0,                      0,                      0,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.1029,                 0.6899,                0.93805,                 1.3467,                0.84823,                0.89021,                0.97038,                0.86037,                0.84823,                0.89021,                0.97038,                0.84384,                      0,                      0,                      0,                      0,               0.009505,               0.009505,               0.009505
                     12,                 1.0808,                0.70983,                0.94786,                 1.3268,                0.96768,                0.98049,                0.99059,                0.91785,                0.90379,                0.91717,                0.89488,                0.53576,                      0,                      0,                      0,                      0,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.1075,                  0.657,                0.90995,                 1.3442,                0.87919,                0.87541,                0.93797,                0.81159,                0.87919,                0.87541,                0.92501,                0.79296,                      0,                      0,                      0,                      0,               0.009406,               0.009406,               0.009406
                     14,                 1.0866,                0.68519,                0.92226,                 1.3442,                0.80091,                0.96364,                0.93622,                 0.8523,                0.80091,                0.96364,                0.93622,                 0.8202,                      0,                      0,                      0,                      0,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.1635,                0.72629,                 1.2202,                 1.3695,                0.86942,                0.81001,                0.94897,                0.81188,                0.86942,                0.81001,                0.93858,                0.66792,                      0,                      0,                      0,                      0,               0.009307,               0.009307,               0.009307
                     16,                 1.1145,                0.71536,                0.86336,                 1.3545,                0.90418,                0.86201,                0.95169,                0.84804,                0.90418,                0.86201,                0.94499,                0.84886,                      0,                      0,                      0,                      0,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.0868,                0.64719,                0.83518,                 1.3627,                0.75498,                0.86096,                0.86901,                0.76029,                0.75498,                0.86096,                0.86901,                0.77326,                      0,                      0,                      0,                      0,               0.009208,               0.009208,               0.009208
                     18,                 1.0533,                0.67369,                 0.7916,                 1.3284,                0.67447,                0.74029,                0.81291,                0.70831,                0.67447,                0.74029,                0.81048,                0.70658,                      0,                      0,                      0,                      0,              0.0091585,              0.0091585,              0.0091585
                     19,                  1.087,                0.61834,                0.80456,                  1.355,                0.81371,                 0.9857,                 0.9589,                0.87161,                0.83423,                 0.9576,                0.95714,                0.86601,                      0,                      0,                      0,                      0,               0.009109,               0.009109,               0.009109
                     20,                 1.0607,                0.64195,                 0.7808,                 1.3558,                0.91568,                 0.8689,                0.90102,                0.77313,                0.90654,                0.85981,                0.89101,                0.76769,                      0,                      0,                      0,                      0,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.0777,                0.66381,                0.85033,                 1.3617,                  0.949,                0.84541,                0.95582,                0.80998,                0.94565,                0.82879,                0.89577,                0.77386,                      0,                      0,                      0,                      0,                0.00901,                0.00901,                0.00901
                     22,                 1.0661,                0.62459,                0.82851,                 1.3572,                0.95716,                0.90724,                0.95877,                0.82904,                0.89597,                0.84703,                0.90056,                0.77831,                      0,                      0,                      0,                      0,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.0041,                0.62623,                0.77814,                  1.336,                0.92808,                0.92675,                0.96683,                0.84484,                0.92808,                0.92675,                0.95351,                0.83463,                      0,                      0,                      0,                      0,               0.008911,               0.008911,               0.008911
                     24,                 1.0853,                0.64667,                0.80979,                 1.3654,                0.86867,                0.83535,                 0.9182,                0.79441,                0.86867,                0.83535,                 0.8947,                0.72683,                      0,                      0,                      0,                      0,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.0945,                0.64689,                0.84433,                 1.4024,                0.76318,                0.86196,                 0.9334,                0.82697,                0.76318,                0.86196,                 0.9334,                0.79447,                      0,                      0,                      0,                      0,               0.008812,               0.008812,               0.008812
                     26,                 1.1269,                0.71583,                0.80589,                 1.3668,                0.80545,                0.94221,                0.96576,                0.87133,                0.80545,                0.94221,                0.96576,                0.87617,                      0,                      0,                      0,                      0,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.0754,                0.67317,                0.77058,                 1.3675,                0.77697,                0.62323,                0.77276,                0.68226,                0.77697,                0.62323,                0.75993,                0.61589,                      0,                      0,                      0,                      0,               0.008713,               0.008713,               0.008713
                     28,                 1.0698,                0.66717,                0.83022,                 1.3743,                0.75837,                0.90283,                0.87444,                0.78224,                0.75837,                0.90283,                0.87444,                0.73497,                      0,                      0,                      0,                      0,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.0462,                0.62585,                0.76701,                 1.3486,                0.90602,                0.98582,                0.98079,                0.88137,                0.90602,                0.98582,                0.98079,                0.86302,                      0,                      0,                      0,                      0,               0.008614,               0.008614,               0.008614
                     30,                 1.0943,                0.62277,                 0.7578,                 1.3596,                0.98152,                0.97943,                0.98599,                0.86232,                 0.9737,                0.96907,                0.97638,                0.83947,                      0,                      0,                      0,                      0,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.0893,                0.67605,                0.74928,                  1.366,                0.95488,                 0.7798,                0.89973,                0.80527,                0.95488,                 0.7798,                0.89973,                0.77363,                      0,                      0,                      0,                      0,               0.008515,               0.008515,               0.008515
                     32,                 1.0341,                0.55877,                0.73716,                 1.3477,                0.85652,                0.93636,                0.93006,                 0.8292,                0.80721,                0.92197,                0.92657,                0.82235,                      0,                      0,                      0,                      0,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.0606,                0.64381,                0.74909,                  1.347,                0.91537,                0.96575,                0.98114,                0.88669,                0.91537,                0.96575,                0.98114,                 0.8905,                      0,                      0,                      0,                      0,               0.008416,               0.008416,               0.008416
