               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              4.6027,              3.5193,               3.879,             0.77835,             0.68712,              0.8159,              0.4179,                   0,                   0,                   0,             0.07024,           0.0033067,           0.0033067
                   1,              2.8283,              1.9497,              2.4741,             0.81817,             0.84487,             0.92307,             0.51222,                   0,                   0,                   0,            0.040218,           0.0066181,           0.0066181
                   2,              2.5396,              1.6982,              2.0463,             0.87113,             0.90274,             0.94452,             0.54325,                   0,                   0,                   0,            0.010174,           0.0099075,           0.0099075
                   3,              2.4033,              1.5103,              1.9022,             0.92996,             0.92884,             0.95898,             0.57035,                   0,                   0,                   0,            0.009901,            0.009901,            0.009901
                   4,              2.3199,              1.3775,              1.8373,             0.94798,             0.96331,             0.97931,             0.59022,                   0,                   0,                   0,            0.009901,            0.009901,            0.009901
                   5,              2.2458,               1.296,              1.8027,             0.93484,             0.97096,             0.97537,             0.59865,                   0,                   0,                   0,            0.009868,            0.009868,            0.009868
                   6,              2.2167,              1.2318,               1.764,               0.948,             0.97955,             0.98086,             0.61111,                   0,                   0,                   0,            0.009835,            0.009835,            0.009835
                   7,              2.1727,              1.1872,              1.7588,             0.95064,              0.9804,             0.97915,              0.6148,                   0,                   0,                   0,            0.009802,            0.009802,            0.009802
                   8,              2.1332,              1.1511,              1.7266,             0.96272,             0.97662,             0.98665,             0.62431,                   0,                   0,                   0,            0.009769,            0.009769,            0.009769
                   9,              2.1224,              1.1188,              1.7228,             0.96805,             0.98536,             0.98472,             0.62899,                   0,                   0,                   0,            0.009736,            0.009736,            0.009736
                  10,                 2.1,                1.09,              1.7054,              0.9672,             0.98408,             0.98279,              0.6302,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                  11,              2.1124,              1.0856,              1.7062,             0.96086,             0.98557,             0.98269,             0.63295,                   0,                   0,                   0,             0.00967,             0.00967,             0.00967
